cbcode,cbname,stcode,stname,cprice
110053,苏银转债,600919,江苏银行,5.97
132018,G三峡EB1!,600900,长江电力,16.74
113050,南银转债,601009,南京银行,10.1
113055,成银转债,601838,成都银行,14.53
110061,川投转债!,600674,川投能源,9.2
127018,本钢转债,000761,本钢板材,4.55
123107,温氏转债,300498,温氏股份,17.62
110079,杭银转债,600926,杭州银行,12.99
127049,希望转2,000876,新希望,14.45
110083,苏租转债,600901,江苏租赁,5.07
113044,大秦转债,601006,大秦铁路,7.18
113011,光大转债,601818,光大银行,3.55
113057,中银转债,601881,中国银河,10.24
127039,北港转债,000582,北部湾港,8.17
113049,长汽转债,601633,长城汽车,37.89
127012,招路转债,001965,招商公路,8.63
110057,现代转债,600420,国药现代,9.79
110075,南航转债,600029,南方航空,6.24
113053,隆22转债,601012,隆基绿能,58.85
